#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
                 0 1.112278091437e-16 -1.106818079553e-17 4.821034002497e-19 1.608240576287e-01 8.450116539192e-17 2.672664375179e-17 
                 1 1.027158029608e-16 2.081913918601e-17 1.096895004102e-17 1.628416079929e-01 7.564740607214e-17 2.706839688863e-17 
                 2 5.629294265877e-17 2.129685184491e-17 1.501765264002e-17 1.642431179821e-01 2.914623759156e-17 2.714670506721e-17 
                 3 4.697780889636e-17 1.686044678469e-17 1.663081101207e-17 1.644557183631e-01 1.983781022605e-17 2.713999867032e-17 
                 4 4.522688966013e-17 2.038357764407e-17 2.258597350532e-17 1.644352761132e-01 1.810813500301e-17 2.711875465712e-17 
                 5 4.341535082163e-17 1.080824890760e-17 2.260046295178e-17 1.642534247958e-01 1.635763881366e-17 2.705771200797e-17 
                 6 4.040950916455e-17 6.698515003833e-17 3.205065555977e-17 1.632964501438e-01 1.359088396744e-17 2.681862519712e-17 
                 7 4.624341913023e-17 5.981243496868e-17 6.145281593711e-17 1.578092112465e-01 2.056845984130e-17 2.567495928893e-17 
                 8 3.572907106478e-17 9.784328024739e-17 6.401964333042e-17 1.574613139813e-01 1.014582417292e-17 2.558324689186e-17 
                 9 3.540025819517e-17 1.647792539826e-16 6.467781545881e-17 1.570022475649e-01 9.904936306305e-18 2.549532188886e-17 
                10 3.521393416552e-17 1.029646409582e-16 6.928326406102e-17 1.565481378662e-01 9.805332713415e-18 2.540860145210e-17 
                11 2.811979411351e-17 2.374231914730e-16 1.567327813843e-16 1.180934889998e-01 9.715063001683e-18 1.840473111183e-17 
                12 2.902033516194e-17 2.701710967592e-16 1.381581891765e-16 1.113517802354e-01 1.172154647871e-17 1.729878868323e-17 
                13 4.286208918109e-17 3.486951150658e-17 1.291457534811e-16 1.082781121581e-01 2.607221178679e-17 1.678987739430e-17 
                14 2.620502774772e-17 2.492536049670e-17 1.329239864129e-16 1.078000964210e-01 9.535112924065e-18 1.666991482366e-17 
                15 2.426647071675e-17 2.460992963810e-16 1.503714753161e-16 1.072227562504e-01 7.702262101693e-18 1.656420861506e-17 
                16 2.393207985216e-17 1.410797884709e-16 1.186913983263e-16 1.067418827871e-01 7.453422539076e-18 1.647865731308e-17 
                17 2.370030763518e-17 1.550247829990e-16 1.162382911340e-16 1.059964257645e-01 7.353706593042e-18 1.634660104214e-17 
                18 2.341979201112e-17 2.435561789910e-16 1.456334263251e-16 1.048509347170e-01 7.276025993333e-18 1.614376601779e-17 
                19 2.122841120162e-17 -1.777688231930e-16 1.048386093665e-16 9.100158107876e-02 7.468013824119e-18 1.376039737750e-17 
                20 2.049545047441e-17 2.642488648261e-16 9.348678667974e-17 9.047292343630e-02 6.831212136789e-18 1.366423833762e-17 
                21 2.033989835098e-17 2.801292981414e-16 9.497217447851e-17 9.000811512370e-02 6.759400217717e-18 1.358049813326e-17 
                22 2.023540608585e-17 1.094699633427e-16 7.484413798102e-17 8.956942710199e-02 6.733845735179e-18 1.350156035068e-17 
                23 1.756179142422e-17 1.789420292817e-16 3.870394592769e-17 7.335623228552e-02 6.813493149158e-18 1.074829827506e-17 
                24 1.671858268476e-17 -6.568549059868e-19 3.707981070226e-17 7.156102534249e-02 6.288414245233e-18 1.043016843953e-17 
                25 1.661300564445e-17 9.583758959863e-17 3.167524717433e-17 6.971157323097e-02 6.506031793648e-18 1.010697385080e-17 
                26 1.618412554012e-17 1.668762720514e-16 1.522533470588e-17 6.931143349990e-02 6.148972032356e-18 1.003515350776e-17 
                27 1.609192886852e-17 2.897151646571e-16 -8.983456802466e-19 6.891087283956e-02 6.127155125816e-18 9.964773742702e-18 
                28 1.601072674807e-17 -1.777723357861e-17 -1.750193409595e-17 6.853228366734e-02 6.112380080989e-18 9.898346667078e-18 
                29 1.036347542153e-17 -1.158382945970e-16 -2.319180799682e-16 2.058084463234e-02 6.718768459371e-18 3.644706962163e-18 
                30 1.364306726706e-17 -3.552496137534e-16 -1.270351241141e-16 1.997895300728e-02 1.018472483568e-17 3.458342431386e-18 
                31 1.194180914929e-17 -8.449015765323e-16 2.709407937179e-16 1.979567634731e-02 8.544264795170e-18 3.397544354118e-18 
                32 9.489308332420e-18 -2.713337650687e-16 -1.433985389779e-16 1.970431479847e-02 6.132291619663e-18 3.357016712758e-18 
                33 8.991726269108e-18 -3.122484492663e-16 -2.564605678192e-16 1.963879112044e-02 5.656631047449e-18 3.335095221659e-18 
                34 8.960560293235e-18 -8.989428210703e-17 -2.671568528223e-16 1.957468086910e-02 5.644148811553e-18 3.316411481682e-18 
                35 8.799025616011e-18 -3.607959982269e-16 -2.726663550685e-16 1.907782858026e-02 5.622802331004e-18 3.176223285007e-18 
                36 8.725425653807e-18 -2.315782365877e-16 -2.747471273944e-16 1.889228947353e-02 5.599059859809e-18 3.126365793998e-18 
                37 8.606313072484e-18 -3.519372384788e-16 -2.650181227107e-16 1.849053984441e-02 5.584474932952e-18 3.021838139531e-18 
                38 8.553712896814e-18 -3.250413132641e-16 -2.761745574073e-16 1.831673293397e-02 5.575592153807e-18 2.978120743008e-18 
                39 8.402523103991e-18 -1.258772856200e-16 -2.635757641771e-16 1.754950871360e-02 5.608974361078e-18 2.793548742913e-18 
                40 8.334160620302e-18 -3.540623572923e-16 -2.796774908565e-16 1.747390199724e-02 5.558324813784e-18 2.775835806518e-18 
                41 8.313445906911e-18 -1.903298560476e-16 -3.081602299951e-16 1.739889571144e-02 5.554799217908e-18 2.758646689003e-18 
                42 8.296907075963e-18 -2.978503302308e-16 -2.949322435294e-16 1.733083634495e-02 5.553750570566e-18 2.743156505397e-18 
                43 7.687621626009e-18 -3.259440496857e-16 -3.476808538139e-16 1.390443789901e-02 5.623711725397e-18 2.063909900612e-18 
                44 8.173223942484e-18 -3.941094309990e-16 -2.274794795373e-16 1.337351262576e-02 6.199633089253e-18 1.973590853231e-18 
                45 7.865532899226e-18 -7.030981938869e-16 -1.236683036467e-16 1.327565609951e-02 5.909019208959e-18 1.956513690267e-18 
                46 7.595705430854e-18 -3.266044171848e-16 -3.353130135787e-16 1.322390856850e-02 5.649646893879e-18 1.946058536975e-18 
                47 7.566968335811e-18 -3.117812743866e-16 -3.613834794196e-16 1.318316466868e-02 5.628015875215e-18 1.938952460597e-18 
                48 7.561417483696e-18 -4.201377457229e-16 -3.581518937858e-16 1.314326698196e-02 5.629270836249e-18 1.932146647447e-18 
                49 7.473801260063e-18 -2.062805412245e-16 -3.693241351514e-16 1.233331900161e-02 5.674447632410e-18 1.799353627653e-18 
                50 7.456575712316e-18 -1.723243039188e-16 -3.677759597513e-16 1.222061152663e-02 5.675603768953e-18 1.780971943362e-18 
                51 7.443136981198e-18 -3.963434401980e-16 -3.676077943576e-16 1.212886418504e-02 5.677067060760e-18 1.766069920438e-18 
                52 7.435560402742e-18 -3.531666460568e-16 -3.737811766959e-16 1.206821147102e-02 5.679303071797e-18 1.756257330946e-18 
                53 7.413534953604e-18 -4.179529128270e-16 -3.761938890679e-16 1.185242340041e-02 5.691784233164e-18 1.721750720440e-18 
                54 7.407788255802e-18 -2.754434989725e-16 -3.638664436531e-16 1.179895972928e-02 5.694575523341e-18 1.713212732461e-18 
                55 7.399254924534e-18 -3.613826012713e-16 -3.709324637079e-16 1.169023356448e-02 5.703290720812e-18 1.695964203723e-18 
                56 7.393700911001e-18 -2.810285219699e-16 -3.663880464105e-16 1.166189008267e-02 5.702251570417e-18 1.691449340584e-18 
                57 7.389684493784e-18 -3.674242613691e-16 -3.763879598355e-16 1.162115553104e-02 5.704686124861e-18 1.684998368923e-18 
                58 7.378660913324e-18 -3.596052291728e-16 -3.687226035864e-16 1.150691633515e-02 5.711644125009e-18 1.667016788315e-18 
                59 7.327340255744e-18 -2.961010588768e-16 -2.309538731677e-16 8.006482878469e-03 6.106462268865e-18 1.220877986879e-18 
                60 7.398662752344e-18 5.260810656131e-17 -1.208424225138e-16 8.023694708539e-03 6.177418476888e-18 1.221244275456e-18 
                61 7.210663662063e-18 -4.312410524492e-16 -3.949375248176e-16 8.031012172754e-03 5.990645079230e-18 1.220018582833e-18 
                62 7.210642238252e-18 -3.585619890279e-16 -3.826965770075e-16 8.038287957358e-03 5.990660197074e-18 1.219982041178e-18 
                63 7.210474255145e-18 -2.873230887696e-16 -3.876554802884e-16 8.109729756162e-03 5.990850735199e-18 1.219623519946e-18 
                64 7.210428421303e-18 -3.861428698932e-16 -3.832160017092e-16 8.141215268515e-03 5.990971174324e-18 1.219457246979e-18 
                65 7.210441298343e-18 2.046436728491e-16 -3.738927015262e-16 8.169237266197e-03 5.991138442263e-18 1.219302856081e-18 
                66 7.210338093941e-18 -4.422284436039e-16 -3.747875346134e-16 8.178131021322e-03 5.991086529202e-18 1.219251564739e-18 
                67 7.210321113839e-18 -2.610594303093e-16 -3.692126103211e-16 8.187424934510e-03 5.991123865934e-18 1.219197247905e-18 
                68 7.210309362672e-18 -2.467385883216e-16 -3.850645038176e-16 8.194088381068e-03 5.991151711702e-18 1.219157650970e-18 
                69 7.210128738918e-18 -5.077453297347e-16 -3.633738024736e-16 8.315968749927e-03 5.991698610106e-18 1.218430128811e-18 
                70 7.210285969307e-18 3.675226139754e-17 -3.512259383801e-16 8.363010404163e-03 5.992227113365e-18 1.218058855942e-18 
                71 7.210484297443e-18 -8.502091046764e-16 -3.568425747152e-16 8.371160095373e-03 5.992500137421e-18 1.217984160022e-18 
                72 7.210053296301e-18 -4.013559105233e-16 -3.572724282934e-16 8.374450289962e-03 5.992102493212e-18 1.217950803089e-18 
                73 7.210048931625e-18 -3.046858363647e-16 -3.572465229194e-16 8.377703876074e-03 5.992129657630e-18 1.217919273995e-18 
                74 7.210044910624e-18 -2.787558742471e-16 -3.463465075176e-16 8.381054778524e-03 5.992158495474e-18 1.217886415150e-18 
                75 7.209854483056e-18 -1.765710289526e-16 -2.879061792209e-16 8.666964014011e-03 5.994762999101e-18 1.215091483955e-18 
                76 7.211586795814e-18 -1.389300815058e-16 -2.166817684089e-16 8.626281365510e-03 5.998577195217e-18 1.213009600597e-18 
                77 7.210231050567e-18 1.819593467376e-16 -2.193438748895e-16 8.626045296650e-03 5.997250792668e-18 1.212980257900e-18 
                78 7.209856667137e-18 -2.180969043461e-17 -2.188218157430e-16 8.625887006615e-03 5.996894846784e-18 1.212961820353e-18 
                79 7.209841370621e-18 -2.062770286314e-16 -2.087073039687e-16 8.625748406802e-03 5.996894482869e-18 1.212946887751e-18 
                80 7.209840967006e-18 -2.472233261666e-16 -2.174694674072e-16 8.625624161659e-03 5.996907295465e-18 1.212933671541e-18 
                81 7.209840800929e-18 -2.080544007300e-16 -2.120609522120e-16 8.625461445391e-03 5.996924325332e-18 1.212916475597e-18 
                82 7.209840547820e-18 -2.710035813192e-16 -2.031916546846e-16 8.625161248692e-03 5.996955529681e-18 1.212885018139e-18 
