#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
                 0 1.482701968627e-18 9.656099092240e-01 2.414019173212e-01 9.655370277886e-02 2.346691986728e-28 1.482701968392e-18 
                 1 8.237878113434e-19 9.716640366422e-01 2.356924503152e-01 3.152759917692e-03 3.902809613131e-20 7.847597152121e-19 
                 2 2.013492600669e-18 9.720255514022e-01 2.314421980574e-01 1.423820152476e-03 1.173416560075e-18 8.400760405932e-19 
                 3 1.059301245690e-18 9.726396613283e-01 2.310088862173e-01 1.269928981882e-03 2.747178364003e-19 7.845834092896e-19 
                 4 8.201259376047e-19 9.728038554430e-01 2.306980838220e-01 1.199929172034e-03 4.236048741024e-20 7.777654501944e-19 
                 5 7.934098041476e-19 9.728705452144e-01 2.304306747318e-01 1.145759630381e-03 1.818219274513e-20 7.752276114025e-19 
                 6 7.824689249326e-19 9.729101691085e-01 2.302589442984e-01 1.113005924615e-03 8.361260123083e-21 7.741076648095e-19 
                 7 7.806430712096e-19 9.729479518977e-01 2.300847531042e-01 1.080956960262e-03 7.506067963688e-21 7.731370032459e-19 
                 8 7.790909272566e-19 9.729932856920e-01 2.298726876149e-01 1.043223431069e-03 7.025562687727e-21 7.720653645688e-19 
                 9 7.741767767857e-19 9.732725851080e-01 2.285251285116e-01 8.129645339887e-04 8.049185464397e-21 7.661275913213e-19 
                10 7.742701899813e-19 9.734285174168e-01 2.277634110385e-01 7.144798684894e-04 1.005813379469e-20 7.642120561866e-19 
                11 7.780675486297e-19 9.735025320353e-01 2.273951124645e-01 6.720353130107e-04 1.485675610852e-20 7.632107925212e-19 
                12 7.707709136522e-19 9.735307206615e-01 2.272618382695e-01 6.575016329172e-04 7.993953619997e-21 7.627769600322e-19 
                13 7.704457819665e-19 9.735582105153e-01 2.271258695318e-01 6.429998002932e-04 8.047835623004e-21 7.623979463435e-19 
                14 7.701084649856e-19 9.735873965327e-01 2.269812434890e-01 6.278935922959e-04 8.112125186814e-21 7.619963397988e-19 
                15 7.176895552674e-19 9.796180086396e-01 1.833111900601e-01 -3.762145370818e-03 5.176664357205e-20 6.659229116954e-19 
                16 9.363167398755e-19 9.799744768120e-01 1.803061626028e-01 6.267655956571e-04 2.596274821442e-19 6.766892577313e-19 
                17 3.344812052372e-18 9.797325162301e-01 1.797432345381e-01 4.923914342326e-04 2.653384379127e-18 6.914276732449e-19 
                18 7.933410525016e-19 9.801726720802e-01 1.797986677844e-01 4.809781358171e-04 1.293925607213e-19 6.639484917803e-19 
                19 7.245555716705e-19 9.802017815719e-01 1.797407114380e-01 4.685604582921e-04 6.222896986002e-20 6.623266018105e-19 
                20 7.108514449955e-19 9.802176173981e-01 1.796736630256e-01 4.553898258705e-04 4.918535876088e-20 6.616660862346e-19 
                21 7.013222837870e-19 9.802440987846e-01 1.795108453135e-01 4.248371726592e-04 4.045020825471e-20 6.608720755323e-19 
                22 6.991135356604e-19 9.802662308646e-01 1.793379012035e-01 3.949017350719e-04 3.878660302040e-20 6.603269326401e-19 
                23 6.979103355890e-19 9.803017595542e-01 1.790353533058e-01 3.465765927086e-04 3.851404193958e-20 6.593962936495e-19 
                24 6.971622838184e-19 9.803118664270e-01 1.789460965246e-01 3.342938596004e-04 3.801500043934e-20 6.591472833791e-19 
                25 6.968134377485e-19 9.803204033428e-01 1.788693678321e-01 3.241601400897e-04 3.787008569469e-20 6.589433520538e-19 
                26 6.966188729673e-19 9.803270484684e-01 1.788090304738e-01 3.164645052022e-04 3.782964007990e-20 6.587892328873e-19 
                27 6.953373412380e-19 9.803790341707e-01 1.783262040512e-01 2.565516534047e-04 3.772636994989e-20 6.576109712882e-19 
                28 6.938060495016e-19 9.804639799519e-01 1.774940236594e-01 1.753614876996e-04 3.785327955202e-20 6.559527699496e-19 
                29 9.103464908088e-19 9.806990711822e-01 1.744912882355e-01 -1.583611455490e-05 2.569380022119e-19 6.534084885969e-19 
                30 6.931604192116e-19 9.807389577919e-01 1.744425216781e-01 -1.548958866276e-05 4.219869020329e-20 6.509617290083e-19 
                31 6.895313951220e-19 9.807444619670e-01 1.743852443374e-01 -1.509320198111e-05 3.877223681853e-20 6.507591583034e-19 
                32 6.884084261898e-19 9.807514603996e-01 1.742985050190e-01 -1.447777838276e-05 3.783725626016e-20 6.505711699296e-19 
                33 6.881226686724e-19 9.807611632264e-01 1.741716772901e-01 -1.358798777801e-05 3.776563426439e-20 6.503570344080e-19 
                34 6.879251614183e-19 9.807704735139e-01 1.740483190336e-01 -1.278105722737e-05 3.776640640937e-20 6.501587550089e-19 
                35 6.827558438083e-19 9.810655327536e-01 1.695047908140e-01 1.444988195115e-05 3.990505012446e-20 6.428507936838e-19 
                36 6.816218859324e-19 9.810698110100e-01 1.694216918400e-01 1.351209907495e-05 3.899785959028e-20 6.426240263422e-19 
                37 6.811236174075e-19 9.810726940962e-01 1.693636150996e-01 1.292309953843e-05 3.863997891812e-20 6.424836384894e-19 
                38 6.810089591430e-19 9.810752954896e-01 1.693095680475e-01 1.241018062409e-05 3.864644696208e-20 6.423625121809e-19 
                39 6.803440464681e-19 9.810963351552e-01 1.688580395043e-01 8.367280960578e-06 3.894799503588e-20 6.413960514322e-19 
                40 6.799681227968e-19 9.811071346360e-01 1.686172321381e-01 7.185507678480e-06 3.898010399351e-20 6.409880188033e-19 
                41 6.788342312146e-19 9.811493074381e-01 1.676080523074e-01 2.726295090368e-06 3.972272866612e-20 6.391115025485e-19 
                42 6.785203445823e-19 9.811517662597e-01 1.675454558675e-01 2.660395732992e-06 3.952117864398e-20 6.389991659383e-19 
                43 6.784204113386e-19 9.811541839177e-01 1.674823829766e-01 2.596210572817e-06 3.953330686756e-20 6.388871044710e-19 
                44 6.783433272577e-19 9.811563075207e-01 1.674264495269e-01 2.540832319871e-06 3.955589308203e-20 6.387874341757e-19 
                45 6.753590194243e-19 9.812351280891e-01 1.650310483910e-01 2.233456119732e-07 4.081561100580e-20 6.345434084185e-19 
                46 6.750496439207e-19 9.812395182135e-01 1.648575541050e-01 2.122922320251e-07 4.084001439689e-20 6.342096295238e-19 
                47 6.750028187632e-19 9.812432728211e-01 1.647010261962e-01 2.003170834344e-07 4.107406966794e-20 6.339287490953e-19 
                48 6.746917241347e-19 9.812445879056e-01 1.646467112429e-01 2.001538633303e-07 4.086355085513e-20 6.338281732795e-19 
                49 6.746126923989e-19 9.812459102841e-01 1.645897845074e-01 1.994665304934e-07 4.088676602159e-20 6.337259263773e-19 
                50 6.745390408689e-19 9.812472100183e-01 1.645330652762e-01 1.984056915444e-07 4.091468287200e-20 6.336243579969e-19 
                51 6.667258513032e-19 9.813089631195e-01 1.577750806366e-01 3.830506042143e-08 4.497087861133e-20 6.217549726919e-19 
                52 6.667683669598e-19 9.813067677318e-01 1.576111629255e-01 -5.931265151790e-08 4.529337950544e-20 6.214749874544e-19 
                53 6.662173719811e-19 9.813057636019e-01 1.575313380475e-01 -9.000202313931e-08 4.489886832879e-20 6.213185036523e-19 
                54 6.659817765842e-19 9.813050675379e-01 1.574811141937e-01 -1.083108130185e-07 4.475570415118e-20 6.212260724330e-19 
                55 6.659190557574e-19 9.813043517263e-01 1.574322671627e-01 -1.242770454516e-07 4.478135883834e-20 6.211376969191e-19 
                56 6.658682963410e-19 9.813037071998e-01 1.573891088939e-01 -1.368493269385e-07 4.480861578077e-20 6.210596805602e-19 
                57 6.577339228851e-19 9.810624585622e-01 1.496309190435e-01 -2.162021032681e-06 5.034437758341e-20 6.073895453017e-19 
                58 6.600904101470e-19 9.810215189915e-01 1.489832014312e-01 1.510867651428e-06 5.358822943888e-20 6.065021807081e-19 
                59 6.635413049139e-19 9.810103335128e-01 1.488216208774e-01 1.201329759654e-06 5.720037507143e-20 6.063409298425e-19 
                60 6.572875177575e-19 9.810080173768e-01 1.487611650733e-01 1.040109200204e-06 5.124397310665e-20 6.060435446509e-19 
                61 6.566634342875e-19 9.810046412266e-01 1.487090083604e-01 9.592645954883e-07 5.073124665439e-20 6.059321876331e-19 
                62 6.564387931893e-19 9.810023436579e-01 1.486742436038e-01 9.155506436303e-07 5.057506220686e-20 6.058637309824e-19 
                63 6.563953536007e-19 9.809997787892e-01 1.486360537672e-01 8.722333633012e-07 5.060369975177e-20 6.057916538489e-19 
                64 6.563001682789e-19 9.809939003822e-01 1.485490618793e-01 7.833042728307e-07 5.067075988699e-20 6.056294083919e-19 
                65 6.529335270971e-19 9.807040852521e-01 1.447767491480e-01 -2.260358654460e-06 5.407988586665e-20 5.988536412305e-19 
                66 6.530085567634e-19 9.806803648835e-01 1.445279610002e-01 -7.130966790327e-07 5.443863451086e-20 5.985699222525e-19 
                67 6.562832871274e-19 9.806682925321e-01 1.444098319187e-01 -6.062277725445e-07 5.785691463055e-20 5.984263724968e-19 
                68 6.521626605038e-19 9.806657709056e-01 1.443780377907e-01 -6.010627573738e-07 5.384358405116e-20 5.983190764526e-19 
                69 6.520727373499e-19 9.806627659188e-01 1.443476165169e-01 -5.919674950641e-07 5.381160291929e-20 5.982611344306e-19 
                70 6.520219888394e-19 9.806590374530e-01 1.443101313237e-01 -5.788226236529e-07 5.382882916817e-20 5.981931596712e-19 
                71 6.518175624182e-19 9.806382549464e-01 1.441030231152e-01 -5.021797715711e-07 5.398995677721e-20 5.978276056410e-19 
                72 6.517377671737e-19 9.806313331526e-01 1.440349729869e-01 -4.798863653174e-07 5.402565205390e-20 5.977121151198e-19 
                73 6.515129598013e-19 9.806081050387e-01 1.438088852513e-01 -4.305237807179e-07 5.419913818144e-20 5.973138216199e-19 
